Time,Lat,Lon,Altitude,Accuracy,Heading,Speed,Battery
1455906534.999995,42.360390,-71.094203,5.949795,25.000000,65.742188,1.060000,0.480000
1455906535.999995,42.360397,-71.094191,5.861507,25.000000,82.617188,1.060000,0.480000
1455906536.999996,42.360401,-71.094179,5.811672,25.000000,82.968750,0.820000,0.480000
1455906537.999995,42.360413,-71.094162,5.897030,25.000000,79.804688,1.370000,0.480000
1455906538.999995,42.360426,-71.094145,5.742245,25.000000,61.171875,0.980000,0.480000
1455906539.999995,42.360444,-71.094130,5.660275,25.000000,51.328125,1.250000,0.480000
1455906540.999995,42.360459,-71.094114,5.516567,25.000000,66.445312,1.110000,0.480000
1455906541.999995,42.360472,-71.094096,5.384670,25.000000,74.531250,1.090000,0.480000
1455906542.999995,42.360485,-71.094079,5.530056,25.000000,83.320312,1.120000,0.480000
1455906543.999995,42.360497,-71.094061,5.440517,25.000000,72.070312,1.090000,0.480000
1455906544.999996,42.360505,-71.094045,5.496883,25.000000,76.992188,1.120000,0.480000
1455906545.999995,42.360512,-71.094029,5.087093,25.000000,80.507812,0.990000,0.480000
1455906546.999996,42.360519,-71.094012,4.829342,25.000000,85.781250,1.080000,0.480000
1455906547.999995,42.360524,-71.093991,4.986782,25.000000,89.296875,1.860000,0.480000
1455906548.999995,42.360531,-71.093970,5.020168,25.000000,86.484375,1.280000,0.480000
1455906549.999995,42.360538,-71.093952,4.993313,25.000000,79.101562,1.320000,0.480000
1455906550.999995,42.360549,-71.093939,5.080441,25.000000,63.984375,1.280000,0.480000
1455906551.999995,42.360561,-71.093929,5.184872,25.000000,61.523438,0.910000,0.480000
1455906552.999995,42.360572,-71.093919,5.089626,25.000000,69.257812,0.950000,0.480000
1455906553.999996,42.360583,-71.093908,5.084225,25.000000,74.531250,0.950000,0.480000
1455906554.999996,42.360596,-71.093893,5.305660,25.000000,75.585938,1.050000,0.480000
1455906555.999995,42.360611,-71.093880,5.194759,25.000000,69.960938,1.050000,0.480000
1455906556.999995,42.360627,-71.093865,5.135433,25.000000,70.664062,1.440000,0.480000
1455906557.999995,42.360646,-71.093851,5.111782,25.000000,60.468750,1.440000,0.480000
1455906558.999996,42.360662,-71.093839,5.143826,25.000000,62.578125,1.220000,0.480000
1455906559.999996,42.360674,-71.093828,5.131893,25.000000,58.359375,1.020000,0.480000
1455906560.999995,42.360685,-71.093819,5.290279,25.000000,63.984375,0.890000,0.480000
1455906561.999995,42.360694,-71.093815,5.330868,25.000000,52.031250,0.390000,0.480000
1455906562.999995,42.360703,-71.093810,5.216000,25.000000,41.484375,0.430000,0.480000
1455906563.999995,42.360712,-71.093806,5.303555,25.000000,37.617188,0.430000,0.480000
1455906564.999995,42.360722,-71.093797,5.248470,25.000000,57.304688,0.670000,0.480000
1455906565.999996,42.360736,-71.093778,5.364925,25.000000,56.250000,1.800000,0.480000
1455906566.999995,42.360754,-71.093755,5.356075,25.000000,51.328125,1.950000,0.480000
1455906567.999994,42.360772,-71.093735,5.356106,25.000000,47.109375,1.940000,0.480000
1455906568.999996,42.360786,-71.093717,5.387753,25.000000,50.273438,1.940000,0.480000
1455906569.999995,42.360796,-71.093696,5.456753,25.000000,61.523438,1.730000,0.480000
1455906570.999995,42.360802,-71.093676,5.527584,25.000000,74.531250,1.420000,0.480000
1455906571.999995,42.360807,-71.093657,5.650448,25.000000,81.210938,1.510000,0.480000
1455906572.999997,42.360812,-71.093636,5.864193,25.000000,79.101562,1.510000,0.480000
1455906573.999995,42.360820,-71.093618,5.926296,25.000000,71.015625,1.550000,0.480000
1455906574.999995,42.360830,-71.093596,6.144894,25.000000,66.093750,1.740000,0.480000
1455906575.999995,42.360838,-71.093582,6.259121,25.000000,66.445312,1.050000,0.480000
1455906576.999996,42.360840,-71.093567,6.671810,25.000000,79.804688,1.050000,0.480000
1455906577.999995,42.360838,-71.093550,6.934628,25.000000,95.625000,1.050000,0.480000
1455906578.999995,42.360839,-71.093536,6.848415,25.000000,92.460938,1.250000,0.480000
1455906579.999995,42.360842,-71.093516,6.903042,25.000000,81.210938,1.280000,0.480000
1455906580.999995,42.360849,-71.093483,6.912991,25.000000,74.179688,2.030000,0.480000
1455906581.999995,42.360854,-71.093452,7.043240,25.000000,72.070312,2.030000,0.480000
1455906582.999996,42.360860,-71.093422,6.996548,25.000000,66.445312,1.510000,0.480000
1455906583.999995,42.360869,-71.093395,7.041775,25.000000,56.953125,1.470000,0.480000
1455906584.999996,42.360875,-71.093368,6.962551,25.000000,55.546875,1.460000,0.480000
1455906585.999996,42.360883,-71.093346,6.838802,25.000000,54.492188,1.460000,0.480000
1455906586.999995,42.360893,-71.093323,6.705990,25.000000,56.953125,1.460000,0.480000
1455906587.999995,42.360901,-71.093297,6.686398,25.000000,57.304688,1.540000,0.480000
1455906588.999995,42.360911,-71.093271,6.616055,25.000000,58.710938,1.540000,0.480000
1455906589.999995,42.360919,-71.093251,6.592251,25.000000,59.414062,1.440000,0.480000
1455906590.999995,42.360926,-71.093233,6.441586,25.000000,62.929688,1.440000,0.480000
1455906591.999995,42.360935,-71.093213,6.664791,25.000000,63.632812,1.360000,0.480000
1455906592.999996,42.360943,-71.093192,6.485683,25.000000,68.554688,1.360000,0.480000
1455906593.999995,42.360950,-71.093171,6.332302,25.000000,75.234375,1.320000,0.480000
1455906594.999995,42.360955,-71.093148,6.389950,25.000000,79.101562,1.580000,0.480000
1455906595.999995,42.360958,-71.093123,6.533749,25.000000,80.156250,1.560000,0.480000
1455906596.999995,42.360959,-71.093100,6.739223,25.000000,76.289062,1.580000,0.480000
1455906597.999995,42.360963,-71.093087,7.127193,25.000000,75.234375,1.560000,0.480000
1455906598.999995,42.360969,-71.093063,7.298794,25.000000,72.773438,1.930000,0.480000
1455906599.999995,42.360977,-71.093037,7.334255,25.000000,68.203125,1.930000,0.480000
1455906600.999995,42.360983,-71.093008,7.432888,25.000000,70.664062,1.930000,0.480000
1455906601.999996,42.360989,-71.092985,7.317745,25.000000,65.390625,1.870000,0.480000
1455906602.999995,42.360993,-71.092963,7.451473,25.000000,65.039062,1.530000,0.480000
1455906603.999995,42.360997,-71.092945,7.661221,25.000000,60.820312,1.530000,0.480000
1455906604.999995,42.361003,-71.092931,7.800686,25.000000,60.820312,1.330000,0.480000
1455906605.999995,42.361013,-71.092930,7.700161,25.000000,50.273438,1.320000,0.480000
1455906606.999995,42.361022,-71.092924,7.748226,25.000000,42.539062,1.140000,0.480000
1455906607.999995,42.361033,-71.092914,7.455013,25.000000,41.132812,1.330000,0.480000
1455906608.999995,42.361044,-71.092898,7.596554,25.000000,46.757812,1.520000,0.480000
1455906609.999995,42.361056,-71.092881,7.805386,25.000000,52.382812,1.430000,0.480000
1455906610.999995,42.361066,-71.092867,7.750912,25.000000,54.140625,1.430000,0.480000
1455906611.999995,42.361071,-71.092856,7.865383,25.000000,54.140625,0.860000,0.480000
1455906612.999996,42.361076,-71.092838,7.871059,25.000000,54.140625,1.450000,0.480000
1455906613.999995,42.361085,-71.092815,7.918575,25.000000,67.851562,1.450000,0.480000
1455906614.999995,42.361094,-71.092792,8.022030,25.000000,63.984375,1.450000,0.480000
1455906615.999995,42.361107,-71.092770,7.970577,25.000000,58.359375,1.600000,0.480000
1455906616.999996,42.361122,-71.092749,7.864376,25.000000,56.601562,1.570000,0.480000
1455906617.999995,42.361136,-71.092729,7.878078,25.000000,52.734375,1.570000,0.480000
1455906618.999995,42.361148,-71.092710,7.415005,25.000000,54.492188,1.510000,0.480000
1455906619.999995,42.361163,-71.092693,7.679867,25.000000,51.679688,1.470000,0.480000
1455906620.999995,42.361174,-71.092676,7.746243,25.000000,51.328125,1.510000,0.480000
1455906621.999995,42.361187,-71.092656,7.681484,25.000000,50.273438,1.570000,0.480000
1455906622.999995,42.361192,-71.092638,7.850216,25.000000,59.414062,1.570000,0.480000
1455906623.999995,42.361198,-71.092618,8.149624,25.000000,60.820312,1.480000,0.480000
1455906624.999996,42.361199,-71.092598,8.318630,25.000000,59.765625,1.200000,0.480000
1455906625.999995,42.361199,-71.092579,8.042782,25.000000,54.140625,1.240000,0.480000
1455906626.999995,42.361203,-71.092563,7.766781,25.000000,54.140625,1.280000,0.480000
1455906627.999995,42.361208,-71.092551,7.607449,25.000000,55.546875,1.280000,0.480000
1455906628.999995,42.361216,-71.092542,7.391232,25.000000,53.085938,1.280000,0.480000
1455906629.999995,42.361223,-71.092530,7.298244,25.000000,51.328125,1.290000,0.480000
1455906630.999995,42.361232,-71.092517,7.254971,25.000000,53.437500,1.700000,0.480000
1455906631.999996,42.361242,-71.092511,7.111477,25.000000,49.570312,1.700000,0.480000
1455906632.999995,42.361249,-71.092502,7.302334,25.000000,54.140625,1.300000,0.480000
1455906633.999996,42.361257,-71.092484,7.277798,25.000000,55.195312,1.300000,0.480000
1455906634.999996,42.361263,-71.092462,7.210598,25.000000,61.523438,1.630000,0.480000
1455906635.999996,42.361270,-71.092444,7.221645,25.000000,54.492188,1.630000,0.480000
1455906636.999995,42.361274,-71.092432,7.160305,25.000000,51.679688,1.090000,0.480000
1455906637.999996,42.361278,-71.092421,7.110561,25.000000,50.976562,0.930000,0.480000
1455906638.999995,42.361282,-71.092413,6.971340,25.000000,50.625000,0.930000,0.480000
1455906639.999996,42.361286,-71.092407,6.829433,25.000000,41.835938,0.800000,0.480000
1455906640.999995,42.361293,-71.092392,6.702389,25.000000,42.539062,1.460000,0.480000
1455906641.999996,42.361302,-71.092376,6.722683,25.000000,45.351562,1.460000,0.480000
1455906642.999996,42.361308,-71.092358,6.631222,25.000000,51.328125,1.460000,0.480000
1455906643.999995,42.361314,-71.092341,6.593990,25.000000,50.625000,1.410000,0.480000
1455906644.999995,42.361321,-71.092322,6.549129,25.000000,58.007812,1.420000,0.480000
1455906645.999995,42.361327,-71.092300,6.544186,25.000000,60.117188,1.430000,0.480000
1455906646.999996,42.361332,-71.092277,6.531277,25.000000,61.875000,1.430000,0.480000
1455906647.999995,42.361333,-71.092255,6.553555,25.000000,61.523438,1.430000,0.480000
1455906648.999995,42.361336,-71.092231,6.608913,25.000000,60.820312,1.490000,0.480000
1455906649.999994,42.361343,-71.092209,6.619137,25.000000,47.460938,1.160000,0.480000
1455906650.999996,42.361354,-71.092191,6.743954,25.000000,34.804688,1.280000,0.480000
1455906651.999995,42.361364,-71.092174,6.753597,25.000000,23.906250,1.280000,0.480000
1455906652.999995,42.361376,-71.092158,6.835842,25.000000,28.125000,1.280000,0.480000
1455906653.999995,42.361387,-71.092140,6.892513,25.000000,30.585938,1.290000,0.480000
1455906654.999995,42.361395,-71.092121,6.844326,25.000000,35.156250,1.290000,0.480000
1455906655.999995,42.361402,-71.092097,6.849819,25.000000,45.000000,1.290000,0.480000
1455906656.999995,42.361405,-71.092076,6.903255,25.000000,51.328125,1.060000,0.480000
1455906657.999995,42.361406,-71.092061,7.034145,25.000000,52.031250,0.840000,0.480000
1455906658.999996,42.361412,-71.092045,7.076015,25.000000,43.242188,1.000000,0.480000
1455906659.999996,42.361421,-71.092026,7.112270,25.000000,39.375000,1.120000,0.480000
1455906660.999995,42.361432,-71.092006,7.015926,25.000000,42.187500,1.120000,0.480000
1455906661.999996,42.361446,-71.091982,7.044308,25.000000,44.296875,1.230000,0.480000
1455906662.999995,42.361456,-71.091957,7.171413,25.000000,42.187500,1.230000,0.480000
1455906663.999994,42.361461,-71.091933,7.435268,25.000000,46.406250,1.010000,0.470000
1455906664.999996,42.361465,-71.091907,7.641323,25.000000,57.656250,1.310000,0.470000
1455906665.999996,42.361464,-71.091880,7.862881,25.000000,78.046875,1.160000,0.470000
1455906666.999995,42.361464,-71.091858,7.981716,25.000000,78.750000,1.160000,0.470000
1455906667.999995,42.361465,-71.091841,8.156002,25.000000,74.882812,0.910000,0.470000
1455906668.999995,42.361466,-71.091825,8.237423,25.000000,63.281250,0.950000,0.470000
1455906669.999996,42.361469,-71.091810,8.156612,25.000000,68.203125,0.950000,0.470000
1455906670.999995,42.361476,-71.091800,8.397396,25.000000,70.312500,0.950000,0.470000
1455906671.999996,42.361482,-71.091788,8.480831,25.000000,71.367188,0.910000,0.470000
1455906672.999995,42.361486,-71.091775,8.607937,25.000000,74.179688,0.950000,0.470000
1455906673.999996,42.361492,-71.091760,8.718014,25.000000,73.125000,0.950000,0.470000
1455906674.999995,42.361501,-71.091741,8.836514,25.000000,66.796875,1.230000,0.470000
1455906675.999995,42.361512,-71.091722,8.802090,25.000000,59.765625,1.440000,0.470000
1455906676.999996,42.361525,-71.091701,8.596066,25.000000,58.007812,1.740000,0.470000
1455906677.999996,42.361540,-71.091680,8.589199,25.000000,58.007812,1.880000,0.470000
1455906678.999995,42.361553,-71.091663,8.518368,25.000000,56.953125,1.740000,0.470000
1455906679.999996,42.361564,-71.091648,8.658901,25.000000,56.601562,1.450000,0.470000
1455906680.999995,42.361574,-71.091630,8.641872,25.000000,57.656250,1.400000,0.470000
1455906681.999995,42.361585,-71.091614,8.701809,25.000000,59.062500,1.310000,0.470000
1455906682.999995,42.361595,-71.091598,9.259487,25.000000,61.875000,1.330000,0.470000
1455906683.999996,42.361606,-71.091580,9.258999,25.000000,62.578125,1.310000,0.470000
1455906684.999996,42.361619,-71.091562,9.276333,25.000000,60.468750,1.260000,0.470000
1455906685.999995,42.361628,-71.091541,8.978176,25.000000,59.414062,1.230000,0.470000
1455906686.999995,42.361637,-71.091526,8.690334,25.000000,51.679688,0.860000,0.470000
1455906687.999996,42.361643,-71.091515,8.242886,25.000000,43.945312,0.860000,0.470000
